"Name","X","Y"
"Jason Mallister",-97.008835,394.7054
"Patrek Mallister",-434.10968,681.7208
"Shella Whent",460.71918,1232.2047
"Walder Frey",37.431015,902.032
"Marillion",113.19619,174.63745
"Jonos Bracken",-54.959476,798.57465
"Gregor Clegane",524.9908,551.20624
"Thoros of Myr",511.35992,484.0141
"Balon Swann",770.14777,-67.18196
"Bryce Caron",199.83032,-193.02425
"Andar Royce",-150.86029,-43.553734
"Robar Royce",440.1457,164.07367
"Horas Redwyne",512.70715,-69.83841
"Hobber Redwyne",525.92487,-102.07182
"Jared Frey",-122.01239,757.7169
"Hosteen Frey",-25.108093,843.7699
"Danwell Frey",149.67302,870.50867
"Emmon Frey",178.32866,821.5195
"Theo Frey",28.614677,1421.3003
"Perwyn Frey",-78.79068,883.08704
"Martyn Rivers",93.97383,1145.8107
"Jalabhar Xho",788.0548,-21.57655
"Lothor Brune",280.1598,-245.14127
"Moon Boy",579.3895,-128.75452
"Lancel Lannister",664.0358,261.07208
"Dacks",-193.36424,-544.2815
"Redfort",-229.97507,-487.9112
"Anguy",775.90405,713.5546
"Cayn",146.5468,126.57096
"Chiggen",192.73813,399.02823
"Bronn",599.04614,115.2668
"Mohor",146.60071,432.59146
"Willis Wode",109.503006,384.87582
"Kurleket",137.61298,490.22153
"Lharys",248.49115,424.1412
"Godwyn",992.94366,686.02325
"Roose Bolton",-207.84547,756.3432
"Tanda Stokeworth",687.9482,-143.14093
"Donnel Waynwood",118.27409,255.82542
"Minisa Whent",-322.5333,251.84697
"Nestor Royce",40.06456,-52.6224
"Mya Stone",-86.40299,-213.85767
"Mychel Redfort",-548.804,-41.54437
"Lyn Corbray",-54.95948,1.7729913
"Vardis Egen",102.28512,94.59673
"Tregar",-17.24681,-249.0669
"Heward",154.56944,-322.3952
"Wyl",173.92816,-373.44873
"Chataya",597.76587,-325.53168
"mother of Barra",180.86072,-533.2202
"Barra",122.16482,-481.877
"Edric Storm",-222.57716,-677.1553
"Selyse Florent",-472.31,-517.98456
"Aggo",567.88184,-1401.5717
"Rakharo",540.80554,-1357.4872
"Joseth",-672.5781,771.202
"Kyra",-997.07764,521.71216
"Bessa",-1475.8088,325.37057
"Stiv",-696.494,927.1435
"Hali",-665.81647,1112.0325
"Osha",-595.86096,618.94684
"Wallen",-677.28595,1195.7528
"Farlen",-653.5557,629.1959
"Quent",-732.45465,805.55664
"Wayn",-675.27985,848.12335
"Mord",64.27987,-182.3473
"Albar Royce",95.97304,21.21193
"Eon Hunter",-64.55126,179.62001
"Anya Waynwood",-21.823544,-27.18189
"Martyn Cassel",-269.17102,-263.13785
"Theo Wull",-291.2305,-388.55447
"Ethan Glover",-239.05994,-124.129974
"Mark Ryswell",-480.88052,-349.993
"Willam Dustin",-298.05252,74.2301
"Oswell Whent",104.45931,-418.29462
"Karyl Vance",221.42265,542.9886
"Marq Piper",-27.319092,702.86584
"Morton Waynwood",33.90529,163.57042
"Gueren",-821.0587,-1222.549
"Matthar",-737.5236,-497.39722
"Hobb Three-Finger",-736.2458,-595.553
"Cuger",-1804.8575,-243.16522
"Clydas",-875.68024,-555.835
"Chett",-1096.1938,-61.70156
"Tysha",516.64636,-384.70197
"Gunthor",929.22253,538.7626
"Shagga",902.11993,299.9562
"Conn",967.7807,459.65607
"Torrek",1304.7949,349.81128
"Jaggot",1353.2797,304.69135
"Arys Oakheart",762.34924,-191.87694
"Joss",303.9203,287.32135
"Gladden Wylde",415.11813,291.22543
"Lothar Mallery",487.66083,312.61465
"Jonquil",1901.4805,-674.0037
"Florian the Fool",1947.7709,-492.4386
"Tya Lannister",1967.2095,408.50558
"Gowen Baratheon",1976.379,321.513
"Ogo",434.21542,-1348.3845
"Fogo",369.5438,-1361.1823
"Jommo",342.45654,-1415.4978
"Preston Greenfield",369.42538,-76.333206
"Kevan Lannister",616.71716,288.6477
"Qos",-991.14734,287.9331
"Cellador",-793.8565,-621.8021
"Othell Yarwyck",-639.46124,-465.21603
"Dywen",-1067.627,-361.70703
"Mandon Moore",452.22186,-53.172066
"Sealord",308.4139,-1287.4629
"stableboy",628.87537,1710.2477
"Shella",-248.48042,1994.9036
"Rainbow Knight",-115.98804,2002.9257
"Othor",-1232.0331,-39.869137
"Jafer Flowers",-959.98846,22.752884
"Bass",-1716.2448,184.79633
"Hake",-1202.1406,-255.03583
"Ketter",-1245.3688,-120.73538
"Lynesse Hightower",-154.6024,-611.3078
"Night's Watch guard",-1830.4146,-113.02121
"Rickard Karstark",-295.91403,553.0016
"Harrion Karstark",-555.27625,651.8773
"Eddard Karstark",-503.95657,393.52695
"Torrhen Karstark",-541.82324,416.2536
"Medger Cerwyn",-380.24274,925.1424
"Wyman Manderly",-411.38104,456.45438
"Torghen Flint",-795.43134,-690.0961
"Robett Glover",-285.25336,699.8264
"Jonelle Cerwyn",-584.76184,1258.9282
"Halys Hornwood",-551.24744,817.5067
"Jon Umber",-271.78952,755.3892
"Byan Votyris",315.03558,-1684.8812
"Wine merchant",475.11243,-1642.4227
"Bharbo",-91.739876,-1890.3246
"Wylis Manderly",-162.90689,681.3919
"Wendel Manderly",-245.2482,637.93713
"Helman Tallhart",-397.84805,602.1729
"Galbart Glover",-401.33804,749.35266
"Chella",733.0847,422.20367
"Cheyk",1392.9243,1143.3268
"Gurn",1526.5688,1022.3669
"Ulf",-153.9008,509.78552
"Dolf",1374.7831,212.50632
"Timett",684.5463,177.9212
"Flement Brax",882.915,168.05235
"Tytos Blackwood",-190.89827,900.1192
"Coratt",1718.711,699.7731
"Umar",-1269.5284,449.8075
"Tytos Lannister",738.2961,558.1142
"Addam Marbrand",698.99493,296.8799
"Gyles Rosby",720.7384,-46.67802
"Dontos Hollard",517.5774,-278.75146
"Stevron Frey",-136.93085,942.6069
"Doran Martell",1065.002,-315.45804
"Lewyn Martell",645.6806,-538.67267
"the king's herald",483.63962,-207.89958
"the gaoler",-997.26404,219.78087
"Jonothor Darry",464.08167,-599.85046
"Genna Lannister",374.07022,647.1974
"Joyeuse Erenford",-149.7495,994.3325
"Ryger Rivers",-48.01724,1233.987
"Whalen Frey",-49.348602,1049.8292
"Amarei Crakehall",-125.3045,1360.6774
"Walder Frey (son of Merrett)",-404.0245,847.651
"Merrett Frey",-4.9349875,973.6346
"Walder Frey (son of Jammos)",-371.07846,830.40735
"Ronel Rivers",59.95024,948.0828
"Olyvar Frey",-186.61366,953.8342
"Elmar Frey",80.424225,1001.24384
"Endrew Tarth",-1106.5061,-886.7781
"Spotted Pate",-1032.2428,-723.28766
"Rudge",-1289.7977,-931.4186
"Harren Hoare",-1272.0522,-1457.274
"Lord Commander Hoare",-1350.0201,-1471.9716
"Daeron II Targaryen",-140.8469,-1228.799
"Eroeh",443.5198,-1581.1436
"Mago",398.7275,-1643.9478
"Jhaqo",203.91289,-1877.3126
"Mirri Maz Duur",309.53375,-1476.4644
"Marwyn",-190.56355,-1054.4922
"Leo Lefford",1098.487,459.82446
"Podrick Payne",909.37427,368.61246
"Shae",826.1355,-77.60019
"Lewys Lydden",987.565,10.846722
"Lord Serrett",1395.5233,121.7083
"Jon Umber (son of Jon)",-365.83832,687.2747
"Daryn Hornwood",-612.1515,402.76886
"Robin Flint",-312.9942,784.2158
"Dacey Mormont",-427.17072,238.08699
"Gawen Westerling",273.68628,805.43854
"Quenten Banefort",548.82477,1009.1672
"Garth Greenfield",496.40604,1102.5597
"Regenard Estren",453.23914,1146.6259
"Tytos Brax",516.71313,963.71954
"Mallor",531.78253,1143.9951
"Willem Lannister",413.58194,632.6831
"Tion Frey",298.47592,641.64307
"Cleos Frey",234.45802,588.4057
"Pono",98.84057,-1813.3213
"Septon 1",854.4759,1687.4336
"Jon Stark",-586.4358,-982.9604
"Marsh King",-1252.8588,206.05132
"Brandon Stark (Shipwright)",-381.7239,1969.4482
"Brandon Stark (Burner)",-394.12473,1876.2183
"Torrhen Stark",-1142.3588,-1644.1577
"Cregan Stark",-322.55466,-1900.8826
"Crakehall messenger",991.03406,503.80438
"Harys Swyft",866.5173,134.66849
"Andros Brax",914.81915,743.73676
"Forley Prester",337.77853,782.9255
"Vargo Hoat",432.83066,871.98267
"Amory Lorch",356.9128,721.3043
"Utherydes Wayn",-98.48454,568.44543
"Vyman",124.13271,638.6833
"Bethany Redwyne",479.01352,688.196
"Lyman Darry",-69.17883,639.52344
"Cressen",-316.39114,-775.64
"Pylos",-383.8621,-822.5096
"Patchface",-510.36542,-709.99207
"Dalla",-1017.42584,-630.1372
"Matrice",-991.5725,-1253.802
"Steffon Baratheon",90.550514,-555.6427
"Cassana Estermont",93.17214,-685.8494
"Jommy",-711.80896,-1433.4725
"Harbert",-97.73929,-718.26483
"Davos Seaworth",-302.33566,-540.1614
"Gulian Swann",553.11755,-841.43713
"Lord Penrose",-123.30352,-1059.985
"Salladhor Saan",-327.7433,-728.4148
"Morosh the Myrman",-769.86224,-1283.0142
"Guncer Sunglass",-496.40005,-1034.0524
"Melisandre",-570.8652,-466.80548
"Ardrian Celtigar",42.118404,-560.17377
"Monford Velaryon",-368.58002,-897.1669
"Duram Bar Emmon",-430.72192,-868.5948
"Axell Florent",-538.53345,-748.9873
"Lommy Greenhands",384.08514,1403.3534
"Hot Pie",575.74915,1193.0104
"Lollys Stokeworth",739.16705,-236.76265
"Falyse Stokeworth",807.104,-149.5004
"Ermesande Hayford",722.3821,347.2578
"Morros Slynt",684.45734,-622.0282
"Vylarr",394.02032,94.2042
"Hayhead",-727.629,544.6756
"Alebelly",-578.23413,709.9789
"Jammos Frey",-263.09314,1383.0531
"Walder Frey (son of Ryman)",-60.251324,1006.19037
"Walder Frey (son of Emmon)",-206.85622,1398.128
"Walder Rivers",-52.923553,842.6574
"Walda Frey",-223.6432,1265.6678
"Waltyr Frey",-306.2923,1349.078
"Turnip",-927.5209,354.7597
"Bandy",-908.8258,419.30676
"Shyra",-964.68854,430.59497
"Palla",-699.50836,498.7255
"Calon",-723.9078,224.37953
"Tom",-783.4444,265.98456
"Praed",554.8227,1357.8446
"Tarber",417.4424,1357.6852
"Unnamed Innkeep",30.965652,1623.4779
"Malcolm",-455.43896,1929.957
"Lync",-231.2831,1896.1409
"Hod",186.77144,1619.937
"Unnamed inn patron",113.11228,1637.3916
"Jaqen H'ghar",358.55646,1241.6553
"Rorge",363.19315,1089.9718
"Biter",345.70267,1162.5765
"Gold cloak officer",603.4367,1238.7218
"Reysen",461.69888,1504.6134
"Cutjack",452.61246,1405.3591
"Kurz",488.57028,1359.4879
"Koss",510.2147,1422.2269
"Dobber",449.4754,1456.7524
"Conwy",-1212.6133,-949.70496
"Hop-Robin",-1172.6758,-890.61926
"Arron",-951.4186,-817.0575
"Emrick",-915.8347,-840.0504
"Satin",-879.92596,-721.8508
"Thoren Smallwood",-1053.59,-224.61082
"Arnell",-1707.2205,-100.47796
"Myriah Martell",-649.60693,-1507.2772
"Aegon IV Targaryen",-529.7986,-1699.454
"Valarr Targaryen",-242.98589,-1336.2389
"Matarys Targaryen",-269.75766,-1193.9414
"Aerys I Targaryen",-203.93425,-1165.8927
"Aelinor Penrose",-272.17343,-1271.6685
"Daeron Targaryen (son of Maekar I)",-195.37027,-1293.5116
"Aerion Targaryen",-212.11101,-1232.3239
"Robin Ryger",7.200565,619.8834
"Desmond Grell",49.74031,492.1238
"Burton Crakehall",1417.8757,1079.417
"Hendry Bracken",-297.39145,1744.0814
"Stafford Lannister",418.04608,375.52344
"Daven Lannister",490.61176,587.9906
"Allar Deem",147.39752,-847.5419
"Jacelyn Bywater",224.48106,-19.466154
"Jothos Slynt",573.577,-953.4899
"Danos Slynt",479.86633,-978.6421
"Murch",575.8079,1420.0305
"the crying girl",384.36673,1465.5725
"one-armed woman",526.72406,1478.0841
"Allard Seaworth",-485.70584,-919.86194
"Dale Seaworth",-432.3668,-943.80615
"Barre",-748.07477,-1573.4626
"Hubard Rambton",-696.6325,-1312.742
"Maric Seaworth",-468.85092,-1142.1276
"Matthos Seaworth",-552.0377,-1042.2649
"Devan Seaworth",-415.90912,-577.0274
"Marya Seaworth",-603.6948,-1191.3866
"Bryen Farring",-448.90128,-779.57965
"Azor Ahai",-1943.1322,-107.212425
"Nissa Nissa",-2002.9346,-52.21818
"Steffon Seaworth",-531.39624,-1180.2731
"Stannis Seaworth",-582.4298,-1130.1471
"Delena Florent",-196.46567,-867.7206
"Captain of the Myraham",-545.4228,920.9412
"captain's daughter",-922.3085,1323.4895
"Sawane Botley",-847.7395,1173.4177
"Gorold Goodbrother",-1565.1615,948.8555
"Rodrik Harlaw",-1295.4867,1000.44366
"Euron Greyjoy",-977.3337,1170.1744
"Victarion Greyjoy",-931.6482,1142.3243
"Sylas Sourmouth",-1390.9773,525.88947
"Dagmer Cleftjaw",-1071.1918,567.13513
"Aeron Greyjoy",-1401.9933,923.6807
"innkeep of Lordsport",-809.47766,1429.9396
"Alannys Harlaw",-1221.3074,1029.821
"Asha Greyjoy",-1149.1234,799.7606
"Gwynesse Harlaw",-1316.6078,935.64276
"Rodrik Greyjoy",-1022.15607,963.0063
"Helya",-1385.5751,618.5705
"Qalen",-1477.6825,871.06464
"Wendamyr",-1279.5033,874.5173
"Pyke guard",-853.2899,1351.0728
"Maron Greyjoy",-1152.2551,1050.2117
"Leyton Hightower",357.82846,-606.3752
"unnamed Glover",102.20536,-1694.0333
"Ryman Frey",-4.14818,808.22266
"Lord Whent",8.023719,-1694.2837
"Lyle Crakehall",564.3642,513.1365
"Tregar Ormollen",-124.583496,-1435.1188
"Pyat Pree",527.28644,-1597.9845
"Xaro Xhoan Daxos",599.6782,-1496.6719
"Quaithe of the Shadow",358.16608,-1599.596
"Bedwyck",-1079.6423,-456.398
"Eddison Tollett",-962.17255,-549.03076
"Jarman Buckwell",-1028.9926,-270.57675
"Mallador Locke",-1254.5665,-225.69142
"Ottyn Wythers",-1171.1772,-182.86186
"Woth",398.00964,1522.3752
"Gerren",337.70734,1504.9735
"knight in the spiked helm",269.57657,1588.5472
"Urreg",297.67377,1465.4889
"Qyle",323.27994,1419.2246
"the skinny man",772.0981,1545.2625
"Frenken",668.29956,-41.999226
"Ironbelly",137.93196,-982.5827
"Salloreon",282.9966,-1100.5637
"Alayaya",1018.18005,55.604877
"Poxy Tym",-733.47473,705.55963
"Donella Hornwood",-864.7857,499.86508
"Ramsay Snow",-625.1438,732.8377
"Domeric Bolton",-523.51025,977.4942
"Reek",-889.9991,561.6212
"Mors Umber",-811.7722,494.42523
"Larence Snow",-759.64325,1217.6534
"Hother Umber",-604.56165,861.6131
"Sybelle Glover",-1034.7809,628.0472
"steward of Deepwood Motte",-776.14545,907.749
"Leobald Tallhart",-807.17316,563.8864
"Benfred Tallhart",-882.7347,745.97095
"Beren Tallhart",-1173.3962,719.9858
"Berena Hornwood",-1061.075,764.7056
"Ondrew Locke",-614.551,986.9307
"Cley Cerwyn",-550.4547,518.04504
"Tallad",927.04877,143.8339
"Hallyne",714.9914,-184.60461
"Galt",1165.9655,-594.2726
"bedmaid",1037.7312,-582.3347
"Tyrek Lannister",346.54886,192.52475
"grandfather of Sandor",1374.1572,694.5793
"Chiswyck",688.6683,1305.8894
"Rafford",582.4358,1079.1062
"Munciter",1069.4679,-805.0989
"Malliard",970.15546,-805.87616
"Rossart",435.5724,-468.07278
"Crawn",1629.5322,-67.231476
"Trystane Martell",1201.9601,-413.87872
"Aewin Targaryen",1439.5905,-766.2808
"Skittrick",-1121.037,623.29846
"Meera Reed",-678.0905,350.88675
"Jojen Reed",-727.9573,334.50208
"Shadd",56.60752,1095.2896
"Colen of Greenpools",-412.43335,1179.9995
"Lord Estermont",351.802,-239.44008
"Ronnet Connington",723.4017,-91.68196
"Arwyn Oakheart",199.04181,-444.8829
"Brienne of Tarth",575.3213,559.75415
"Selwyn Tarth",955.8069,630.9872
"Lorent Caswell",208.77512,-106.07246
"Lucas Blackwood",1.1369591,1095.2692
"Jon Fossoway",134.10677,-233.6755
"Lord Willum",416.6408,-327.64377
"Josua Willum",568.8281,-440.8914
"Elyas Willum",503.5203,-452.0053
"Steffon Varner",338.9129,-440.22235
"Guyard Morrigen",147.09195,-179.81642
"Mark Mullendore",735.4194,-9.085857
"Tanton Fossoway",1076.53,-712.2057
"Cortnay Penrose",82.37199,-312.14697
"Craster",-1117.0283,-293.4294
"Craster wife 1",-1358.971,-109.68748
"Gilly",-892.8631,-302.21832
"Lark the Sisterman",-1431.727,-166.95615
"Nella",-1472.6221,-99.40601
"Brown Bernarr",-1217.832,-366.9842
"Raymun Redbeard",1676.806,-1118.229
"Bael the Bard",1369.5002,1486.8607
"Gendel",-1997.2343,137.38493
"Gorne",-1946.3826,192.7949
"Joramun",1921.0388,469.15656
"Sigrin",-1496.9807,807.2014
"Ambrode",-1542.4537,439.3903
"Wex Pyke",-880.3617,654.9994
"Bluetooth",-1009.29913,1312.1451
"Rymolf Stormdrunk",-1572.465,503.921
"Uller",-1453.0582,746.22095
"Qarl the Maid",-1309.7468,673.68054
"Skyte",-1523.2767,552.98706
"Eldiss",-1726.3535,566.3162
"stableman",-1462.0021,674.0137
"Rolfe",-1107.2184,940.9061
"Lord Cerwyn",-620.7397,1414.3016
"Donnel Locke",-501.48053,1193.3508
"naked serving girl",1294.4695,151.29263
"The Tickler",708.77576,1191.7913
"Shitmouth",880.594,932.66534
"Dunsen",836.14484,1293.2605
"Amabel",279.38486,983.7969
"Harra",163.10461,1433.0548
"Weese",402.7407,1671.1632
"Quhuru Mo",-314.74945,-991.08905
"Dancy",1349.5148,22.962858
"Marei",1212.4053,-284.83868
"Polliver",760.4255,1210.2731
"Pia",624.8356,990.86237
"Alyn Stackspear",1210.7213,465.13812
"Whitesmile Wat",576.0907,1559.2056
"Dunaver",-1063.2512,-1703.7352
"Jodge",-987.6869,-1651.3778
"Tothmure",-412.39917,1010.8189
"Joss Stilwood",760.85815,1449.7556
"Eggon",801.69806,1379.1602
"Barth (brewer)",99.724304,1071.7211
"Layna",692.71246,1460.5044
"Tobbot",731.564,1395.5897
"Durran Godsgrief",1904.036,265.27426
"Elenei",1889.7887,358.3375
"Antario Jast",1569.4697,425.2578
"Martyn Lannister",378.83603,476.99142
"Osmynd",-382.8451,1329.5833
"Parmen Crane",132.17494,-78.87429
"Emmon Cuy",603.8378,200.74966
"Gawen Wylde",-73.66294,-839.88446
"Edwyn Frey",16.396393,881.4975
"Petyr Frey",-8.8458805,1033.59
"Aegon Frey (son of Stevron)",-130.20218,1032.3317
"Alester Florent",-319.53113,-673.7175
"Stygg",-772.7049,624.29395
"Werlag",-980.93604,662.58685
"Tymor",-994.72266,769.8848
"Urzen",-979.0821,834.2206
"Black Lorren",-817.8115,668.8654
"Gevin Harlaw",-1608.8645,378.97632
"Maron Botley",-1460.3259,418.67767
"Todric",-1457.1886,491.54144
"Andrik",-1465.6543,1238.9469
"Dunstan Drumm",-1533.3596,1167.0902
"Lucan",203.05286,1494.6608
"Lyonel",311.50034,1974.2268
"Tuffleberry",553.1202,1695.9071
"Frey scout",144.49594,1005.6202
"Rymund the Rhymer",-249.31635,832.7649
"Enger",100.87611,1576.2711
"Delp",439.4645,958.3165
"Long Lew",99.80609,1262.2485
"Poul Pemford",1199.2839,757.7989
"Myles",1087.943,59.23714
"Mathos Mallarawan",616.0294,-1848.8809
"Wendello Qar Deeth",516.8066,-1848.2043
"Egon Emeros",423.6523,-1830.2076
"captain of Rob's Hammer",1627.6556,-144.90613
"Osmund Kettleblack",721.07623,49.77085
"Osney Kettleblack",766.95374,90.3485
"Osfryd Kettleblack",873.6166,71.44405
"Tygett Lannister",580.5805,389.77167
"Eldon Estermont",436.4043,-534.5418
"Shyra Errol",19.493029,-706.4746
"Bryan Fossoway",133.35652,-638.32996
"Errold Stark",-182.60207,-921.7305
"Elwood Meadows",-186.01173,22.96046
"Rattleshirt",-1034.0822,-528.0013
"Harma",-1364.1196,-717.0439
"Alfyn Crowkiller",-1618.6378,-271.09924
"Weeper",-1318.0264,-675.1397
"Ebben",-1437.4126,-337.7296
"Symon Silver Tongue",1103.1241,-566.11456
"Kym",188.19719,1350.4346
"Mebble Pinkeye",861.633,1616.9515
"Aenys Frey",-74.89642,918.98047
"Cadwyn",892.5121,1409.6025
"Ben Blackthumb",936.6192,1267.823
"Lord Lothston",1372.5312,1410.2776
"the chief cook",631.61487,1512.0725
"Shagwell the Fool",393.33533,919.0857
"Holger",1701.5732,477.25314
"High Septon 2",600.39825,-8.67586
"Drennan",-1217.5769,658.5116
"Squint",-1307.8834,734.9459
"Aggar",-900.1064,944.42645
"Murch (Winterfell)",-830.4194,995.7033
"Gariss",-886.71655,1005.6658
"Gynir Rednose",-847.6856,919.86896
"Gelmarr",-918.3773,875.58026
"Miller's Wife",-1005.7839,1082.0641
"the miller's boy 1",-1079.9142,1035.8452
"the miller's boy 2",-1074.9408,1104.8536
"Dalbridge",-1473.2665,-257.73538
"Stonesnake",-1409.2579,-259.26028
"Orell",-1626.5599,-830.211
"Ygritte",-1473.2189,-517.6266
"Brandon Stark (the Daughterless)",1231.9712,1616.9922
"gaoler",300.2621,1131.9548
"Jeffory Mallister",-496.40042,69.43298
"Kyle Royce",-446.70807,17.927332
"Elbert Arryn",-332.65964,-131.48688
"Kromm",-932.8857,713.3338
"Cadwyl",-1308.496,619.4356
"Imry Florent",-260.07767,-808.32513
