House,Region,SwornTo_BefADWD,SwornTo_AftADWD
House Broome,Westerlands,House Lannister,House Lannister
House Crakehall,Westerlands,House Lannister,House Lannister
House Doggett,Westerlands,House Lannister,House Lannister
House Drox,Westerlands,House Lannister,House Lannister
House Estren,Westerlands,House Lannister,House Lannister
House Falwell,Westerlands,House Lannister,House Lannister
House Farman,Westerlands,House Lannister,House Lannister
House Ferren,Westerlands,House Lannister,House Lannister
House Foote,Westerlands,House Lannister,House Lannister
House Garner,Westerlands,House Lannister,House Lannister
House Hamell,Westerlands,House Lannister,House Lannister
House Hawthorne,Westerlands,House Lannister,House Lannister
House Jast,Westerlands,House Lannister,House Lannister
House Kenning,Westerlands,House Lannister,House Lannister
House Kyndall,Westerlands,House Lannister,House Lannister
House Lefford,Westerlands,House Lannister,House Lannister
House Lydden,Westerlands,House Lannister,House Lannister
House Marbrand,Westerlands,House Lannister,House Lannister
House Moreland,Westerlands,House Lannister,House Lannister
House Myatt,Westerlands,House Lannister,House Lannister
House Payne,Westerlands,House Lannister,House Lannister
House Plumm,Westerlands,House Lannister,House Lannister
House Prester,Westerlands,House Lannister,House Lannister
House Sarsfield,Westerlands,House Lannister,House Lannister
House Sarwyck,Westerlands,House Lannister,House Lannister
House Serrett,Westerlands,House Lannister,House Lannister
House Stackspear,Westerlands,House Lannister,House Lannister
House Turnberry,Westerlands,House Lannister,House Lannister
House Westerling,Westerlands,House Lannister,House Lannister
House Yarwyck,Westerlands,House Lannister,House Lannister
House Clegane,Westerlands,House Lannister,House Lannister
House Clifton,Westerlands,House Lannister,House Lannister
House Greenfield,Westerlands,House Lannister,House Lannister
House Hetherspoon,Westerlands,House Lannister,House Lannister
House Lorch,Westerlands,House Lannister,House Lannister
House Peckledon,Westerlands,House Lannister,House Lannister
House Ruttiger,Westerlands,House Lannister,House Lannister
House Swyft,Westerlands,House Lannister,House Lannister
House Vikary,Westerlands,House Lannister,House Lannister
House Westford,Westerlands,House Lannister,House Lannister
House Yew,Westerlands,House Lannister,House Lannister
House Lannett,Westerlands,House Lannister,House Lannister
House Lanny,Westerlands,House Lannister,House Lannister
House Lantell,Westerlands,House Lannister,House Lannister
House Spicer,Westerlands,House Lannister,House Lannister
House Stilwood,Westerlands,House Lannister,House Lannister
House Casterly,Westerlands,House Lannister,House Lannister
House Parren,Westerlands,House Lannister,House Lannister
House Reyne,Westerlands,House Lannister,House Lannister
House Tarbeck,Westerlands,House Lannister,House Lannister
House Ambrose,Reach,House Tyrell,House Tyrell
House Appleton,Reach,House Tyrell,House Tyrell
House Ashford,Reach,House Tyrell,House Tyrell
House Beesbury,Reach,House Tyrell,House Tyrell
House Blackbar,Reach,House Tyrell,House Tyrell
House Bulwer,Reach,House Tyrell,House Tyrell
House Caswell,Reach,House Tyrell,House Tyrell
House Cockshaw,Reach,House Tyrell,House Tyrell
House Cordwayner,Reach,House Tyrell,House Tyrell
House Costayne,Reach,House Tyrell,House Tyrell
House Crane,Reach,House Tyrell,House Tyrell
House Cuy,Reach,House Tyrell,House Tyrell
House Florent,Reach,House Tyrell,House Tyrell
House Fossoway,Reach,House Tyrell,House Tyrell
House Footly,Reach,House Tyrell,House Tyrell
House Graceford,Reach,House Tyrell,House Tyrell
House Hightower,Reach,House Tyrell,House Tyrell
House Meadows,Reach,House Tyrell,House Tyrell
House Merryweather,Reach,House Tyrell,House Tyrell
House Mullendore,Reach,House Tyrell,House Tyrell
House Oakheart,Reach,House Tyrell,House Tyrell
House Peake,Reach,House Tyrell,House Tyrell
House Redwyne,Reach,House Tyrell,House Tyrell
House Rodden,Reach,House Tyrell,House Tyrell
House Rowan,Reach,House Tyrell,House Tyrell
House Shermer,Reach,House Tyrell,House Tyrell
House Tarly,Reach,House Tyrell,House Tyrell
House Varner,Reach,House Tyrell,House Tyrell
House Vyrwel,Reach,House Tyrell,House Tyrell
House Chester,Reach,House Tyrell,House Tyrell
House Grimm,Reach,House Tyrell,House Tyrell
House Hewett,Reach,House Tyrell,House Tyrell
House Serry,Reach,House Tyrell,House Tyrell
House Ball,Reach,House Tyrell,House Tyrell
House Bridges,Reach,House Tyrell,House Tyrell
House Bushy,Reach,House Tyrell,House Tyrell
House Cobb,Reach,House Tyrell,House Tyrell
House Conklyn,Reach,House Tyrell,House Tyrell
House Dunn,Reach,House Tyrell,House Tyrell
House Durwell,Reach,House Tyrell,House Tyrell
House Graves,Reach,House Tyrell,House Tyrell
House Hastwyck,Reach,House Tyrell,House Tyrell
House Hunt,Reach,House Tyrell,House Tyrell
House Hutcheson,Reach,House Tyrell,House Tyrell
House Inchfield,Reach,House Tyrell,House Tyrell
House Kidwell,Reach,House Tyrell,House Tyrell
House Leygood,Reach,House Tyrell,House Tyrell
House Lowther,Reach,House Tyrell,House Tyrell
House Lyberr,Reach,House Tyrell,House Tyrell
House Middlebury,Reach,House Tyrell,House Tyrell
House Norcross,Reach,House Tyrell,House Tyrell
House Norridge,Reach,House Tyrell,House Tyrell
House Oldflowers,Reach,House Tyrell,House Tyrell
House Orme,Reach,House Tyrell,House Tyrell
House Pommingham,Reach,House Tyrell,House Tyrell
House Redding,Reach,House Tyrell,House Tyrell
House Rhysling,Reach,House Tyrell,House Tyrell
House Risley,Reach,House Tyrell,House Tyrell
House Roxton,Reach,House Tyrell,House Tyrell
House Sloane,Reach,House Tyrell,House Tyrell
House Stackhouse,Reach,House Tyrell,House Tyrell
House Uffering,Reach,House Tyrell,House Tyrell
House Webber,Reach,House Tyrell,House Tyrell
House Westbrook,Reach,House Tyrell,House Tyrell
House Willum,Reach,House Tyrell,House Tyrell
House Woodwright,Reach,House Tyrell,House Tyrell
House Wythers,Reach,House Tyrell,House Tyrell
House Yelshire,Reach,House Tyrell,House Tyrell
House Osgrey,Reach,House Tyrell,House Tyrell
House Blacktyde,Iron Islands,House Greyjoy,House Greyjoy
House Botley,Iron Islands,House Greyjoy,House Greyjoy
House Drumm,Iron Islands,House Greyjoy,House Greyjoy
House Farwynd,Iron Islands,House Greyjoy,House Greyjoy
House Goodbrother,Iron Islands,House Greyjoy,House Greyjoy
House Harlaw,Iron Islands,House Greyjoy,House Greyjoy
House Merlyn,Iron Islands,House Greyjoy,House Greyjoy
House Myre,Iron Islands,House Greyjoy,House Greyjoy
House Orkwood,Iron Islands,House Greyjoy,House Greyjoy
House Saltcliffe,Iron Islands,House Greyjoy,House Greyjoy
House Sparr,Iron Islands,House Greyjoy,House Greyjoy
House Stonehouse,Iron Islands,House Greyjoy,House Greyjoy
House Stonetree,Iron Islands,House Greyjoy,House Greyjoy
House Sunderly,Iron Islands,House Greyjoy,House Greyjoy
House Tawney,Iron Islands,House Greyjoy,House Greyjoy
House Volmark,Iron Islands,House Greyjoy,House Greyjoy
House Wynch,Iron Islands,House Greyjoy,House Greyjoy
House Codd,Iron Islands,House Greyjoy,House Greyjoy
House Humble,Iron Islands,House Greyjoy,House Greyjoy
House Ironmaker,Iron Islands,House Greyjoy,House Greyjoy
House Netley,Iron Islands,House Greyjoy,House Greyjoy
House Sharp,Iron Islands,House Greyjoy,House Greyjoy
House Shepherd,Iron Islands,House Greyjoy,House Greyjoy
House Weaver,Iron Islands,House Greyjoy,House Greyjoy
House Andrik,Iron Islands,House Greyjoy,House Greyjoy
House Nute,Iron Islands,House Greyjoy,House Greyjoy
House Bigglestone,Riverlands,House Tully,House Baelish
House Blanetree,Riverlands,House Tully,House Baelish
House Butterwell,Riverlands,House Tully,House Baelish
House Chambers,Riverlands,House Tully,House Baelish
House Charlton,Riverlands,House Tully,House Baelish
House Darry,Riverlands,House Tully,House Baelish
House Deddings,Riverlands,House Tully,House Baelish
House Erenford,Riverlands,House Tully,House Baelish
House Frey,Riverlands,House Tully,House Baelish
House Goodbrook,Riverlands,House Tully,House Baelish
House Grell,Riverlands,House Tully,House Baelish
House Harlton,Riverlands,House Tully,House Baelish
House Hawick,Riverlands,House Tully,House Baelish
House Keath,Riverlands,House Tully,House Baelish
House Lolliston,Riverlands,House Tully,House Baelish
House Lychester,Riverlands,House Tully,House Baelish
House Mooton,Riverlands,House Tully,House Baelish
House Pemford,Riverlands,House Tully,House Baelish
House Perryn,Riverlands,House Tully,House Baelish
House Piper,Riverlands,House Tully,House Baelish
House Roote,Riverlands,House Tully,House Baelish
House Ryger,Riverlands,House Tully,House Baelish
House Shawney,Riverlands,House Tully,House Baelish
House Slynt,Riverlands,House Tully,House Baelish
House Smallwood,Riverlands,House Tully,House Baelish
House Terrick,Riverlands,House Tully,House Baelish
House Vance,Riverlands,House Tully,House Baelish
House Vypren,Riverlands,House Tully,House Baelish
House Wayn,Riverlands,House Tully,House Baelish
House Whent,Riverlands,House Tully,House Baelish
House Cox,Riverlands,House Tully,House Baelish
House Grey,Riverlands,House Tully,House Baelish
House Haigh,Riverlands,House Tully,House Baelish
House Nayland,Riverlands,House Tully,House Baelish
House Paege,Riverlands,House Tully,House Baelish
House Wode,Riverlands,House Tully,House Baelish
House Heddle,Riverlands,House Tully,House Baelish
House Lothston,Riverlands,House Tully,House Baelish
House Strong,Riverlands,House Tully,House Baelish
House Harroway,Riverlands,House Tully,House Baelish
House Hook,Riverlands,House Tully,House Baelish
House Qoherys,Riverlands,House Tully,House Baelish
House Dondarrion,Stormlands,House Baratheon,House Baratheon
House Selmy,Stormlands,House Baratheon,House Baratheon
House Swann,Stormlands,House Baratheon,House Baratheon
House Buckler,Stormlands,House Baratheon,House Baratheon
House Cafferen,Stormlands,House Baratheon,House Baratheon
House Connington,Stormlands,House Baratheon,House Baratheon
House Errol,Stormlands,House Baratheon,House Baratheon
House Estermont,Stormlands,House Baratheon,House Baratheon
House Fell,Stormlands,House Baratheon,House Baratheon
House Gower,Stormlands,House Baratheon,House Baratheon
House Grandison,Stormlands,House Baratheon,House Baratheon
House Herston,Stormlands,House Baratheon,House Baratheon
House Horpe,Stormlands,House Baratheon,House Baratheon
House Kellington,Stormlands,House Baratheon,House Baratheon
House Lonmouth,Stormlands,House Baratheon,House Baratheon
House Mertyns,Stormlands,House Baratheon,House Baratheon
House Morrigen,Stormlands,House Baratheon,House Baratheon
House Musgood,Stormlands,House Baratheon,House Baratheon
House Peasebury,Stormlands,House Baratheon,House Baratheon
House Penrose,Stormlands,House Baratheon,House Baratheon
House Rogers,Stormlands,House Baratheon,House Baratheon
House Seaworth,Stormlands,House Baratheon,House Baratheon
House Staedmon,Stormlands,House Baratheon,House Baratheon
House Swygert,Stormlands,House Baratheon,House Baratheon
House Tarth,Stormlands,House Baratheon,House Baratheon
House Trant,Stormlands,House Baratheon,House Baratheon
House Tudbury,Stormlands,House Baratheon,House Baratheon
House Wagstaff,Stormlands,House Baratheon,House Baratheon
House Wensington,Stormlands,House Baratheon,House Baratheon
House Whitehead,Stormlands,House Baratheon,House Baratheon
House Wylde,Stormlands,House Baratheon,House Baratheon
House Bolling,Stormlands,House Baratheon,House Baratheon
House Brownhill,Stormlands,House Baratheon,House Baratheon
House Hasty,Stormlands,House Baratheon,House Baratheon
House Caron,Stormlands,House Baratheon,House Baratheon
House Cole,Stormlands,House Baratheon,House Baratheon
House Toyne,Stormlands,House Baratheon,House Baratheon
House Allyrion,Dorne,House Martell,House Martell
House Blackmont,Dorne,House Martell,House Martell
House Dayne,Dorne,House Martell,House Martell
House Fowler,Dorne,House Martell,House Martell
House Gargalen,Dorne,House Martell,House Martell
House Jordayne,Dorne,House Martell,House Martell
House Ladybright,Dorne,House Martell,House Martell
House Manwoody,Dorne,House Martell,House Martell
House Qorgyle,Dorne,House Martell,House Martell
House Toland,Dorne,House Martell,House Martell
House Uller,Dorne,House Martell,House Martell
House Vaith,Dorne,House Martell,House Martell
House Wyl,Dorne,House Martell,House Martell
House Dalt,Dorne,House Martell,House Martell
House Drinkwater,Dorne,House Martell,House Martell
House Santagar,Dorne,House Martell,House Martell
House Briar,Dorne,House Martell,House Martell
House Brook,Dorne,House Martell,House Martell
House Dryland,Dorne,House Martell,House Martell
House Hull,Dorne,House Martell,House Martell
House Wade,Dorne,House Martell,House Martell
House Belgrave,,,
House Bourney,,,
House Bullock,,,
House Foxglove,,,
House Sweet,,,
House Goode,,,
House Leek,,,
House Blackberry,,,
House Bush,,,
House Cupps,,,
House Farrow,,,
House Greenhill,,,
House Groves,,,
House Lansdale,,,
House Penny,,,
House Potter,,,
House Rankenfell,,,
House Redbeard,,,
House Ruskyn,,,
House Sawyer,,,
House Straw,,,
House Suggs,,,
House Warrick,,,
House Weatherwax,,,
House Whitfield,,,
House Wormwood,,,
House Mandrake,,,
House Strickland,,,
House Antaryon,Braavos,,
House Fregar,Braavos,,
House Otharys,Braavos,,
House Otherys,Braavos,,
House Pranelis,Braavos,,
House Prestayn,Braavos,,
House Reyaan,Braavos,,
House Tendyris,Braavos,,
House Torone,Braavos,,
House Zalyne,Braavos,,
House Belaerys,Valyria,,
House Dagareon,Lys,,
House Haen,Lys,,
House Moraqos,Lys,,
House Orthys,Lys,,
House Pendaerys,Lys,,
House Rogare,Lys,,
House Haen,Lys,,
House Rogare,Lys,,
Saan Family,Lys,,
House Qhoqua,Summer Isles,,
House Qo,Summer Isles,,
House Xaq,Summer Isles,,
House Xho,Summer Isles,,
House of Nakloz,Astapor,,
House of Ullhor,Astapor,,
House of Dhazak,Meereen,,
House of Galare,Meereen,,
House of Ghazeen,Meereen,,
House of Hazkar,Meereen,,
House of Kandaq,Meereen,,
House of Loraq,Meereen,,
House of Merreq,Meereen,,
House of Naqqan,Meereen,,
House of Pahl,Meereen,,
House of Quazzar,Meereen,,
House of Reznak,Meereen,,
House of Rhazdar,Meereen,,
House of Uhlez,Meereen,,
House of Yherizan,Meereen,,
House of Zhak,Meereen,,
House of Ahlaq,Yunkai,,
House of Eraz,Yunkai,,
House of Faez,Yunkai,,
House of Myraq,Yunkai,,
House of Qaggaz,Yunkai,,
House of Rhaezn,Yunkai,,
House of Yunzak,Yunkai,,
House of Zherzyn,Yunkai,,
Maegyr Family,Volantis,,
Tagaros Family,Volantis,,
Scarlet Emperors,Yi Ti,,
Grey Emperors,Yi Ti,,
Indigo Emperors,Yi Ti,,
Jade-Green Emperors,Yi Ti,,
Pearl-White Emperors,Yi Ti,,
Sea-Green Emperors,Yi Ti,,
Purple Emperors,Yi Ti,,
Maroon Emperors,Yi Ti,,
Yellow Emperors,Yi Ti,,
Azure Emperors,Yi Ti,,
Orange Emperors,Yi Ti,,
