Name;Named;PoV;AllegianceASOIAF;CultureASOIAF;RaceASOIAF;Source;AllegianceGoT;CultureGoT;AllegianceBoth;CultureBoth
Aegon Targaryen (son of Rhaegar);TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aegor Rivers;TRUE;0;House Bracken, House Blackfyre, Second Sons, Golden Company;Rivermen;Valyrian;AWOIAF Wiki;;;House Bracken, House Blackfyre, Second Sons, Golden Company;Rivermen
Aelinor Penrose;TRUE;0;House Penrose, House Targaryen;Stormlander;;AWOIAF Wiki;;;House Penrose, House Targaryen;Stormlander
Aelor Targaryen;TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aelora Targaryen;TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aelyx Targaryen;TRUE;0;House Targaryen;Valyrian;Valyrian;AWOIAF Wiki;;;House Targaryen;Valyrian
Aemma Arryn;TRUE;0;House Arryn, House Targaryen;Valemen;;AWOIAF Wiki;;;House Arryn, House Targaryen;Valemen
Aemon Blackfyre;TRUE;0;House Blackfyre;Crownlander;Valyrian;AWOIAF Wiki;;;House Blackfyre;Crownlander
Aemon Costayne;TRUE;0;House Costayne;;;AWOIAF Wiki;;;House Costayne;
Aemon Estermont;TRUE;0;House Estermont;Stormlander;;AWOIAF Wiki;;;House Estermont;Stormlander
Aemon Rivers;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Aemon Steelsong;TRUE;0;;Free Folk;;AWOIAF Wiki;;;;Free Folk
Aemon Targaryen;TRUE;0;;;;AWOIAF Wiki;;;;
Aemon Targaryen (son of Viserys II);TRUE;0;House Targaryen, Kingsguard;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen, Kingsguard;Crownlander
Aemon Targaryen (son of Maekar I);TRUE;0;House Targaryen, Citadel, Night's Watch;Crownlander;Valyrian;AWOIAF Wiki;House Targaryen, Citadel, Night's Watch;Valyrian;House Targaryen, Citadel, Night's Watch;Crownlander
Aemond Targaryen;TRUE;0;House Targaryen, Greens;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen, Greens;Crownlander
Aenar Targaryen;TRUE;0;House Targaryen;Valyrian;Valyrian;AWOIAF Wiki;;;House Targaryen;Valyrian
Aenys Blackfyre;TRUE;0;House Blackfyre;Crownlander;Valyrian;AWOIAF Wiki;;;House Blackfyre;Crownlander
Aenys Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Aenys I Targaryen;TRUE;0;;Crownlander;Valyrian;AWOIAF Wiki;;;;Crownlander
Aerea Targaryen;TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aerion Targaryen;TRUE;0;House Targaryen, Second Sons;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen, Second Sons;Crownlander
Aerion Targaryen (son of Daemion);TRUE;0;House Targaryen;Valyrian;Valyrian;AWOIAF Wiki;;;House Targaryen;Valyrian
Aeron Greyjoy;TRUE;3;House Greyjoy;Ironborn;;AWOIAF Wiki;House Greyjoy, Drowned Men;Ironborn;House Greyjoy;Ironborn
Aerys Targaryen;TRUE;0;;;;AWOIAF Wiki;;;;
Aerys I Targaryen;TRUE;0;;;;AWOIAF Wiki;;;;
Aerys II Targaryen;TRUE;0;;;;AWOIAF Wiki;;;;
Aerys II Targaryen's last mistress;FALSE;0;House Targaryen;Crownlander;;AWOIAF Wiki;;;House Targaryen;Crownlander
Aethan;TRUE;0;Night's Watch;Westerosi;;AWOIAF Wiki;;;Night's Watch;Westerosi
Aethan Velaryon;TRUE;0;House Velaryon;Crownlander;Valyrian;AWOIAF Wiki;;;House Velaryon;Crownlander
Aethelmure;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Aggar;TRUE;0;House Greyjoy;Ironborn;;AWOIAF Wiki;;;House Greyjoy;Ironborn
Aggo;TRUE;0;Drogo's Khalasar, House Targaryen, Queensguard;Dothraki;Dothraki;AWOIAF Wiki;;;Drogo's Khalasar, House Targaryen, Queensguard;Dothraki
Aglantine;TRUE;0;Faith of the Seven;;;AWOIAF Wiki;;;Faith of the Seven;
Agnes Blackwood;TRUE;0;House Blackwood;Rivermen;;AWOIAF Wiki;;;House Blackwood;Rivermen
Agramore Cobb;TRUE;0;House Cobb, Kingsguard;Reach;;AWOIAF Wiki;;;House Cobb, Kingsguard;Reach
Agrivane;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Aladale Wynch;TRUE;0;House Wynch, Night's Watch;Ironborn;;AWOIAF Wiki;;;House Wynch, Night's Watch;Ironborn
Aladore Florent;TRUE;0;House Florent;Reach;;AWOIAF Wiki;;;House Florent;Reach
Alan o' the Oak;TRUE;0;House Yew;First Men;First Men;AWOIAF Wiki;;;House Yew;First Men
Alan of Rosby;TRUE;0;Night's Watch;Crownlander;;AWOIAF Wiki;;;Night's Watch;Crownlander
Alan Beesbury;TRUE;0;House Beesbury, Blacks;Reach;;AWOIAF Wiki;;;House Beesbury, Blacks;Reach
Alan Tarly;TRUE;0;House Tarly, Blacks;Marcher;;AWOIAF Wiki;;;House Tarly, Blacks;Marcher
Alannys Harlaw;TRUE;0;House Greyjoy, House Harlaw;Ironborn;;AWOIAF Wiki;;;House Greyjoy, House Harlaw;Ironborn
Alaric of Eysen;TRUE;0;;Westerosi;;AWOIAF Wiki;;;;Westerosi
Alaric Stark;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Alarra Massey;TRUE;0;House Massey, House Velaryon;Crownlander;;AWOIAF Wiki;;;House Massey, House Velaryon;Crownlander
Alarra Stark;TRUE;0;House Stark, House Targaryen;Northmen;;AWOIAF Wiki;;;House Stark, House Targaryen;Northmen
Alastor Reyne;TRUE;0;House Reyne;Westermen;;AWOIAF Wiki;;;House Reyne;Westermen
Alayaya;TRUE;0;Chataya's brothel;Summer Islander;;AWOIAF Wiki;;;Chataya's brothel;Summer Islander
Alayne Baelish;TRUE;0;House Baelish;Westerosi;;AWOIAF Wiki;;;House Baelish;Westerosi
Alayne Royce;TRUE;0;House Royce;Valemen;;AWOIAF Wiki;;;House Royce;Valemen
Albar Royce;TRUE;0;House Royce;Valemen;;AWOIAF Wiki;;;House Royce;Valemen
Albett;TRUE;0;Night's Watch;;;AWOIAF Wiki;;;Night's Watch;
Albin Manwoody;TRUE;0;;Dornish;;AWOIAF Wiki;;;;Dornish
Albin Massey;TRUE;0;House Massey;Crownlander;;AWOIAF Wiki;;;House Massey;Crownlander
Alchemist;FALSE;0;Faceless Men;;;AWOIAF Wiki;;;Faceless Men;
Alebelly;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Alec Hunter;TRUE;0;House Hunter;Valemen;;AWOIAF Wiki;;;House Hunter;Valemen
Alekyne Florent;TRUE;0;House Florent;Reach;;AWOIAF Wiki;;;House Florent;Reach
Alequo Adarys;TRUE;0;Band of Nine;Tyroshi;;AWOIAF Wiki;;;Band of Nine;Tyroshi
Alerie Hightower;TRUE;0;House Hightower, House Tyrell;Reach;;AWOIAF Wiki;;;House Hightower, House Tyrell;Reach
Alesander Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Alesander Staedmon;TRUE;0;House Staedmon;Stormlander;;AWOIAF Wiki;;;House Staedmon;Stormlander
Alesandor Torrent;TRUE;0;House Torrent;Sistermen;;AWOIAF Wiki;;;House Torrent;Sistermen
Alester II Arryn;TRUE;0;;Andal;;AWOIAF Wiki;;;;Andal
Alester Florent;TRUE;0;House Florent, House Tyrell, House Baratheon, Queen's Men;Reach;;AWOIAF Wiki;;;House Florent, House Tyrell, House Baratheon, Queen's Men;Reach
Alester Norcross;TRUE;0;House Norcross;Reach;;AWOIAF Wiki;;;House Norcross;Reach
Alester Oakheart;TRUE;0;House Oakheart;Reach;;AWOIAF Wiki;;;House Oakheart;Reach
Alester Sarwyck;TRUE;0;House Sarwyck, House Lannister, Faith of R'hllor;Westermen;;AWOIAF Wiki;;;House Sarwyck, House Lannister, Faith of R'hllor;Westermen
Alester Wynch;TRUE;0;House Wynch;Ironborn;;AWOIAF Wiki;;;House Wynch;Ironborn
Alexander;TRUE;0;;;;AWOIAF Wiki;;;;
Alf of Runnymudd;TRUE;0;Night's Watch, Queen's Men;;;AWOIAF Wiki;;;Night's Watch, Queen's Men;
Alfador;TRUE;0;Citadel, House Hightower;;;AWOIAF Wiki;;;Citadel, House Hightower;
Alford;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Alfred Broome;TRUE;0;House Broome, Blacks, Greens;Westermen;;AWOIAF Wiki;;;House Broome, Blacks, Greens;Westermen
Alfric Dannett;TRUE;0;;;;AWOIAF Wiki;;;;
Alfyn Crowkiller;TRUE;0;;Free Folk;;AWOIAF Wiki;;;;Free Folk
Alfyn;TRUE;0;Faith of the Seven, House Targaryen;Westerosi;;AWOIAF Wiki;;;Faith of the Seven, House Targaryen;Westerosi
Alia of Braavos;TRUE;0;;;Braavosi;AWOIAF Wiki;;;;
Aliandra Martell;TRUE;0;House Martell;Dornish;;AWOIAF Wiki;;;House Martell;Dornish
Alicent Hightower;TRUE;0;House Hightower, House Targaryen, Greens;Reach;;AWOIAF Wiki;;;House Hightower, House Targaryen, Greens;Reach
Alios Qhaedar;TRUE;0;;Volantene;Valyrian;AWOIAF Wiki;;;;Volantene
All-for-Joffrey;TRUE;0;;Rivermen;;AWOIAF Wiki;;;;Rivermen
Alla Tyrell;TRUE;0;House Tyrell;Reach;;AWOIAF Wiki;;;House Tyrell;Reach
Allaquo;TRUE;0;;Braavosi;;AWOIAF Wiki;;;;Braavosi
Allar;TRUE;0;Citadel, House Targaryen;;;AWOIAF Wiki;;;Citadel, House Targaryen;
Allar Deem;TRUE;0;City Watch of King's Landing;;;AWOIAF Wiki;;;City Watch of King's Landing;
Allard Royce;TRUE;0;House Royce;Valemen;;AWOIAF Wiki;;;House Royce;Valemen
Allard Seaworth;TRUE;0;House Seaworth;;;AWOIAF Wiki;;;House Seaworth;
Alleras;TRUE;0;Citadel;Dornish;Dornish, Summer Islander;AWOIAF Wiki;;;Citadel;Dornish
Alliser Thorne;TRUE;0;House Thorne, Night's Watch;Crownlander;;AWOIAF Wiki;House Thorne, House Targaryen, Night's Watch;Andal;House Thorne, Night's Watch;Crownlander
Allyria Dayne;TRUE;0;House Dayne;Dornish;;AWOIAF Wiki;;;House Dayne;Dornish
Alton Butterwell;TRUE;0;House Butterwell;Rivermen;;AWOIAF Wiki;;;House Butterwell;Rivermen
Alton Celtigar;TRUE;0;House Celtigar;Crownlander;Valyrian;AWOIAF Wiki;;;House Celtigar;Crownlander
Alton Greyjoy;TRUE;0;House Greyjoy;Ironborn;;AWOIAF Wiki;;;House Greyjoy;Ironborn
Alvyn Sharp;TRUE;0;House Sharp;Ironborn;;AWOIAF Wiki;;;House Sharp;Ironborn
Alyce;TRUE;0;Peach;Rivermen;;AWOIAF Wiki;;;Peach;Rivermen
Alyce Graceford;TRUE;0;House Graceford;Reach;;AWOIAF Wiki;;;House Graceford;Reach
Alyn;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Red Alyn of the Rosewood;TRUE;0;Night's Watch;;;AWOIAF Wiki;;;Night's Watch;
Sour Alyn;TRUE;0;House Bolton, Bastard's Boys;Northmen;;AWOIAF Wiki;;;House Bolton, Bastard's Boys;Northmen
Alyn Ambrose;TRUE;0;House Ambrose;Reach;;AWOIAF Wiki;;;House Ambrose;Reach
Alyn Ashford;TRUE;0;House Ashford;Reach;;AWOIAF Wiki;;;House Ashford;Reach
Alyn Blackwood;TRUE;0;House Blackwood;Rivermen;;AWOIAF Wiki;;;House Blackwood;Rivermen
Alyn Bullock;TRUE;0;House Bullock, House Targaryen;Crownlander;;AWOIAF Wiki;;;House Bullock, House Targaryen;Crownlander
Alyn Cockshaw;TRUE;0;House Cockshaw, House Blackfyre;Reach;;AWOIAF Wiki;;;House Cockshaw, House Blackfyre;Reach
Alyn Connington;TRUE;0;House Connington, Kingsguard;Stormlander;;AWOIAF Wiki;;;House Connington, Kingsguard;Stormlander
Alyn Estermont;TRUE;0;House Estermont;Stormlander;;AWOIAF Wiki;;;House Estermont;Stormlander
Alyn Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Alyn Garner;TRUE;0;House Garner;Westermen;;AWOIAF Wiki;;;House Garner;Westermen
Alyn Haigh;TRUE;0;House Haigh;Rivermen;;AWOIAF Wiki;;;House Haigh;Rivermen
Alyn Hunt;TRUE;0;House Hunt;Marcher;;AWOIAF Wiki;;;House Hunt;Marcher
Alyn Marbrand;TRUE;0;House Marbrand;Westermen;;AWOIAF Wiki;;;House Marbrand;Westermen
Alyn Orkwood;TRUE;0;House Orkwood;Ironborn;;AWOIAF Wiki;;;House Orkwood;Ironborn
Alyn Stackspear;TRUE;0;House Stackspear;Westermen;;AWOIAF Wiki;;;House Stackspear;Westermen
Alyn Stokeworth;TRUE;0;House Stokeworth;Crownlander;;AWOIAF Wiki;;;House Stokeworth;Crownlander
Alyn Tarbeck;TRUE;0;House Tarbeck;Westermen;;AWOIAF Wiki;;;House Tarbeck;Westermen
Alyn Terrick;TRUE;0;House Terrick, Faith Militant;Rivermen;;AWOIAF Wiki;;;House Terrick, Faith Militant;Rivermen
Alyn Velaryon;TRUE;0;House Velaryon, House Targaryen, Blacks;Crownlander;Valyrian;AWOIAF Wiki;;;House Velaryon, House Targaryen, Blacks;Crownlander
Alynne Connington;TRUE;0;House Connington;Stormlander;;AWOIAF Wiki;;;House Connington;Stormlander
Alys Arryn;TRUE;0;House Arryn, House Waynwood;Valemen;;AWOIAF Wiki;;;House Arryn, House Waynwood;Valemen
Alys Arryn (wife of Rhaegel);TRUE;0;House Arryn, House Targaryen;Valemen;;AWOIAF Wiki;;;House Arryn, House Targaryen;Valemen
Alys Beesbury;TRUE;0;House Beesbury, House Tyrell;Reach;;AWOIAF Wiki;;;House Beesbury, House Tyrell;Reach
Alys Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Alys Harroway;TRUE;0;House Harroway, House Targaryen;Rivermen;;AWOIAF Wiki;;;House Harroway, House Targaryen;Rivermen
Alys Karstark;TRUE;0;House Karstark, House Thenn;Northmen;;AWOIAF Wiki;House Karstark, House Stark;Northmen;House Karstark, House Thenn;Northmen
Alys Karstark (wife of Brandon);TRUE;0;House Karstark, House Stark;Northmen;;AWOIAF Wiki;;;House Karstark, House Stark;Northmen
Alys Oakheart;TRUE;0;House Oakheart, House Cafferen;Reach;;AWOIAF Wiki;;;House Oakheart, House Cafferen;Reach
Alys Rivers;TRUE;0;House Strong, House Targaryen, Greens;Rivermen;;AWOIAF Wiki;;;House Strong, House Targaryen, Greens;Rivermen
Alys Stackspear;TRUE;0;House Stackspear, House Lannister;Westermen;;AWOIAF Wiki;;;House Stackspear, House Lannister;Westermen
Alys Stark;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Alys Stone;TRUE;0;House Hardyng, House Waynwood;Valemen;;AWOIAF Wiki;;;House Hardyng, House Waynwood;Valemen
Alys Turnberry;TRUE;0;House Turnberry, House Pryor;Westermen;;AWOIAF Wiki;;;House Turnberry, House Pryor;Westermen
Alysane Mormont;TRUE;0;House Mormont;Northmen;;AWOIAF Wiki;;;House Mormont;Northmen
Alysanne;TRUE;0;;;;AWOIAF Wiki;;;;
Alysanne Blackwood;TRUE;0;House Blackwood, Blacks, Lads, House Stark;Rivermen;;AWOIAF Wiki;;;House Blackwood, Blacks, Lads, House Stark;Rivermen
Alysanne Bracken;TRUE;0;House Bracken;Rivermen;;AWOIAF Wiki;;;House Bracken;Rivermen
Alysanne Bulwer;TRUE;0;House Bulwer;Reach;;AWOIAF Wiki;;;House Bulwer;Reach
Alysanne Farman;TRUE;0;House Farman, House Lannister;Westermen;;AWOIAF Wiki;;;House Farman, House Lannister;Westermen
Alysanne Hightower;TRUE;0;House Hightower, House Ambrose;Reach;;AWOIAF Wiki;;;House Hightower, House Ambrose;Reach
Alysanne Lefford;TRUE;0;House Lefford;Westermen;;AWOIAF Wiki;;;House Lefford;Westermen
Alysanne Osgrey;TRUE;0;House Osgrey, Silent Sisters;Reach;;AWOIAF Wiki;;;House Osgrey, Silent Sisters;Reach
Alysanne Stark;TRUE;0;House Stark;Northmen;;AWOIAF Wiki;;;House Stark;Northmen
Alysanne Targaryen;TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Alysanne of Tarth;TRUE;0;House Tarth;Stormlander;;AWOIAF Wiki;;;House Tarth;Stormlander
Alyse Ladybright;TRUE;0;House Ladybright, House Martell;Dornish;;AWOIAF Wiki;;;House Ladybright, House Martell;Dornish
Alyssa Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Alyssa Blackwood;TRUE;0;House Blackwood, House Frey;Rivermen;;AWOIAF Wiki;;;House Blackwood, House Frey;Rivermen
Alyssa Royce;TRUE;0;House Royce;Valemen;;AWOIAF Wiki;;;House Royce;Valemen
Alyssa Targaryen;TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Alyssa Velaryon;TRUE;0;House Velaryon, House Targaryen, House Baratheon;Crownlander;Valyrian;AWOIAF Wiki;;;House Velaryon, House Targaryen, House Baratheon;Crownlander
Alyx Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Amabel;TRUE;0;House Whent, House Lannister;Rivermen;;AWOIAF Wiki;;;House Whent, House Lannister;Rivermen
Amanda Arryn;TRUE;0;House Arryn;Valemen;;AWOIAF Wiki;;;House Arryn;Valemen
Amarei Crakehall;TRUE;0;House Crakehall, House Frey;Westermen;;AWOIAF Wiki;;;House Crakehall, House Frey;Westermen
Amarys;TRUE;0;Faith of the Seven;;;AWOIAF Wiki;;;Faith of the Seven;
Amaury Peake;TRUE;0;House Peake, Kingsguard;Reach;;AWOIAF Wiki;;;House Peake, Kingsguard;Reach
Ambrode;TRUE;0;;Ironborn;;AWOIAF Wiki;;;;Ironborn
Ambrose Butterwell;TRUE;0;House Butterwell, House Targaryen, House Blackfyre;Rivermen;;AWOIAF Wiki;;;House Butterwell, House Targaryen, House Blackfyre;Rivermen
Amerei Frey;TRUE;0;House Frey, House Lannister;Rivermen;;AWOIAF Wiki;;;House Frey, House Lannister;Rivermen
Amethyst Empress;TRUE;0;;Great Empire of the Dawn;;AWOIAF Wiki;;;;Great Empire of the Dawn
Amory Lorch;TRUE;0;House Lorch, House Lannister;Westermen;;AWOIAF Wiki;House Lorch, House Lannister;Andal;House Lorch, House Lannister;Westermen
Amory Westford;TRUE;0;House Westford, House Lannister;Westermen;;AWOIAF Wiki;;;House Westford, House Lannister;Westermen
Amos Bracken;TRUE;0;House Bracken, Greens;Rivermen;;AWOIAF Wiki;;;House Bracken, Greens;Rivermen
Andahar;TRUE;0;;;;AWOIAF Wiki;;;;
Andar Royce;TRUE;0;House Royce;Valemen;;AWOIAF Wiki;;;House Royce;Valemen
Anders Yronwood;TRUE;0;House Yronwood;Dornish;;AWOIAF Wiki;;;House Yronwood;Dornish
Andrew Estermont;TRUE;0;House Estermont, House Baratheon, King's Men;Stormlander;;AWOIAF Wiki;;;House Estermont, House Baratheon, King's Men;Stormlander
Andrew Tollett;TRUE;0;House Tollett;Valemen;;AWOIAF Wiki;;;House Tollett;Valemen
Andrey Charlton;TRUE;0;House Charlton;Rivermen;;AWOIAF Wiki;;;House Charlton;Rivermen
Andrey Dalt;TRUE;0;House Dalt;Dornish;;AWOIAF Wiki;;;House Dalt;Dornish
Andrik;TRUE;0;House Drumm, House Greyjoy;Ironborn;;AWOIAF Wiki;;;House Drumm, House Greyjoy;Ironborn
Andros Brax;TRUE;0;House Brax;Westermen;;AWOIAF Wiki;;;House Brax;Westermen
Androw Ashford;TRUE;0;House Ashford;Reach;;AWOIAF Wiki;;;House Ashford;Reach
Androw Farman;TRUE;0;House Farman;Westermen;;AWOIAF Wiki;;;House Farman;Westermen
Androw Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Anguy;TRUE;0;Brotherhood Without Banners;Marcher;;AWOIAF Wiki;Brotherhood Without Banners;Andal;Brotherhood Without Banners;Marcher
Annara Farring;TRUE;0;House Farring, House Frey;Crownlander;;AWOIAF Wiki;;;House Farring, House Frey;Crownlander
Anselm;TRUE;0;Citadel, House Targaryen;Westerosi;;AWOIAF Wiki;;;Citadel, House Targaryen;Westerosi
Anson;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Antario Jast;TRUE;0;House Jast;Westermen;;AWOIAF Wiki;;;House Jast;Westermen
Anya Waynwood;TRUE;0;House Waynwood, Lords Declarant;Valemen;;AWOIAF Wiki;House Waynwood, House Arryn;Andal;House Waynwood, Lords Declarant;Valemen
Anya Weatherwax;TRUE;0;House Weatherwax;Westerosi;;AWOIAF Wiki;;;House Weatherwax;Westerosi
Archibald Yronwood;TRUE;0;House Yronwood, Windblown;Dornish;;AWOIAF Wiki;;;House Yronwood, Windblown;Dornish
Archon of Tyrosh (War of the Ninepenny Kings);TRUE;0;;Tyroshi;;AWOIAF Wiki;;;;Tyroshi
Archon's daughter (Jaehaerys I);FALSE;0;Archon of Tyrosh, House Baratheon;Tyroshi;;AWOIAF Wiki;;;Archon of Tyrosh, House Baratheon;Tyroshi
Ardrian Celtigar;TRUE;0;House Celtigar;Crownlander;Valyrian;AWOIAF Wiki;;;House Celtigar;Crownlander
Aregelle Stark;TRUE;0;House Stark, House Cerwyn;Northmen;;AWOIAF Wiki;;;House Stark, House Cerwyn;Northmen
Areo Hotah;TRUE;2;Holy Guard, House Martell;Norvoshi;;AWOIAF Wiki;House Martell;Norvoshi;Holy Guard, House Martell;Norvoshi
Argella Durrandon;TRUE;0;House Durrandon, House Baratheon;Stormlander;;AWOIAF Wiki;;;House Durrandon, House Baratheon;Stormlander
Argilac Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Argos Sevenstar;TRUE;0;;Andal;;AWOIAF Wiki;;;;Andal
Argoth Stone-Skin;TRUE;0;;;;AWOIAF Wiki;;;;
Argrave the Defiant;TRUE;0;House Butterwell;Reach;;AWOIAF Wiki;;;House Butterwell;Reach
Arianne Martell;TRUE;4;House Martell;Dornish;;AWOIAF Wiki;;;House Martell;Dornish
Arianne Tarth;TRUE;0;House Tarth;Stormlander;;AWOIAF Wiki;;;House Tarth;Stormlander
Arlan of Pennytree;TRUE;0;House Dondarrion, House Florent, House Hayford, House Tyrell;Rivermen;;AWOIAF Wiki;;;House Dondarrion, House Florent, House Hayford, House Tyrell;Rivermen
Arlan I Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Arlan III Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Arlan V Durrandon;TRUE;0;;;;AWOIAF Wiki;;;;
Armen;TRUE;0;Citadel;Westerosi;;AWOIAF Wiki;;;Citadel;Westerosi
Armen Peake;TRUE;0;House Peake;Reach;;AWOIAF Wiki;;;House Peake;Reach
Armistead Vance;TRUE;0;House Vance;Andal;Andal;AWOIAF Wiki;;;House Vance;Andal
Armond Caswell;TRUE;0;House Caswell;Reach;;AWOIAF Wiki;;;House Caswell;Reach
Armond Connington;TRUE;0;House Connington;Stormlander;;AWOIAF Wiki;;;House Connington;Stormlander
Arnel;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Arneld;TRUE;0;City Watch of King's Landing;;;AWOIAF Wiki;;;City Watch of King's Landing;
Arnell;TRUE;0;Night's Watch;;;AWOIAF Wiki;;;Night's Watch;
